5254907,97.75,688.30,3121.85
5254912,195.69,1386.14,986.19
5254918,97.75,97.75,3748.74
5254922,3434.35,97.75,97.75
5254926,8589.61,2914.57,2914.57
5254932,1486.62,1085.89,1688.18
5254936,97.75,1587.31,2914.57
5254942,97.75,97.75,1285.85
5254946,2195.61,97.75,4065.04
5254952,97.75,1185.77,1486.62
5254957,3225.80,97.75,2605.21
5254963,97.75,1890.55,5133.47
5254967,97.75,97.75,3853.95
5254973,1486.62,886.70,5349.79
5254977,3018.10,97.75,5025.64
5254981,97.75,7225.13,2502.50
5254987,97.75,5458.30,3329.97
5254991,1890.55,1587.31,10107.53
5254998,9753.48,97.75,3643.73
5255002,97.75,97.75,5894.52
5255008,1285.85,688.30,3959.39
5255012,886.70,886.70,3225.80
5255018,4170.91,1789.26,1992.03
5255022,97.75,97.75,6777.89
5255028,97.75,886.70,1486.62
5255032,1285.85,1085.89,1085.89
5255038,195.69,97.75,589.39
5255043,97.75,2297.70,97.75
5255047,97.75,2093.72,3225.80
5255053,1486.62,97.75,5133.47
5255057,4065.04,490.68,2914.57
5255063,97.75,97.75,97.75
5255067,7903.05,787.40,2195.61
5255071,1285.85,1085.89,97.75
5255077,1185.77,97.75,1992.03
5255081,97.75,3329.97,97.75
5255088,195.69,886.70,3225.80
5255092,986.19,97.75,1789.26
5255098,392.16,97.75,4810.64
5255102,97.75,97.75,97.75
5255106,589.39,97.75,97.75
5255112,97.75,1386.14,1992.03
5255116,97.75,293.83,2811.24
5255122,97.75,97.75,787.40
5255127,97.75,6113.99,1992.03
5255131,1085.89,97.75,5349.79
5255137,97.75,97.75,3018.10
5255141,97.75,97.75,4596.53
5255147,1185.77,1890.55,5025.64
5255151,1587.31,1085.89,688.30
5255157,1085.89,97.75,3959.39
5255161,97.75,97.75,2605.21
5255165,97.75,1688.18,4276.99
5255172,886.70,97.75,7112.97
5255176,97.75,97.75,5675.96
5255182,97.75,97.75,8130.94
5255186,97.75,688.30,2811.24
5255190,1486.62,1085.89,8359.79
5255196,490.68,195.69,3748.74
5255200,97.75,5349.79,2093.72
5255206,97.75,97.75,4489.79
